Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1771497028225,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,15.000000953674316,15.789472579956055,13.636363983154297,0,0,0,0,100,4.761904716491699,0,17.815994262695313,17179869184,0,10499375104,0
203,1771497028430,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,4.761904716491699,0,9.090909004211426,0,0,0,100,0,0,20.31995391845703,17179869184,0,10499375104,0
204,1771497028633,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,5,5,0,0,0,0,100,0,0,20.31995391845703,17179869184,0,10499375104,0
204,1771497028838,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,9.523809432983398,10,5,5,0,0,0,73.68421173095703,0,23.809524536132813,20.31995391845703,17179869184,0,10501324800,0
204,1771497029043,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.761904716491699,4.761904716491699,4.545454502105713,0,0,0,0,13.636363983154297,95.23809814453125,9.523809432983398,20.31995391845703,17179869184,0,10500849664,0
204,1771497029248,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,9.523809432983398,5,4.761904716491699,0,0,0,0,100,0,20.31995391845703,17179869184,0,10501013504,0
204,1771497029453,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,14.285715103149414,5.263157844543457,5,4.761904716491699,0,0,0,0,100,0,17.64949607849121,17179869184,0,10501275648,0
204,1771497029658,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,9.090909004211426,10,0,0,0,0,50,50,0,17.64949607849121,17179869184,0,10503340032,0
200,1771497029863,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,9.090909004211426,0,5,4.761904716491699,0,0,0,0,100,0,17.64949607849121,17179869184,0,10508140544,0
204,1771497030064,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,11.111111640930176,20,14.285715103149414,15.000000953674316,0,0,0,0,95,5.263157844543457,17.64949607849121,17179869184,0,10509762560,0
204,1771497030269,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,22.72727394104004,19.047618865966797,5,9.523809432983398,0,0,0,0,0,100,17.277740478515625,17179869184,0,10509762560,0
204,1771497030474,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,10,9.523809432983398,5,0,0,0,0,0,100,17.277740478515625,17179869184,0,10509762560,0
204,1771497030679,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,4.761904716491699,0,0,0,0,0,0,0,100,17.277740478515625,17179869184,0,10509762560,0
204,1771497030884,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.633038520812988,6.699999809265137,4.761904716491699,0,5,0,0,0,0,4.761904716491699,0,100,17.277740478515625,17179869184,0,10507747328,0
204,1771497031089,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.633038520812988,6.699999809265137,0,9.090909004211426,4.761904716491699,4.761904716491699,0,0,0,38.095237731933594,4.761904716491699,63.6363639831543,17.277740478515625,17179869184,0,10515365888,0
204,1771497031294,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.633038520812988,6.699999809265137,10,5,4.761904716491699,5,0,0,0,14.285715103149414,90,0,17.47968292236328,17179869184,0,10496901120,0
204,1771497031499,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.633038520812988,6.699999809265137,4.761904716491699,5,0,0,0,0,0,0,100,0,17.47968292236328,17179869184,0,10496966656,0
203,1771497031704,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.633038520812988,6.699999809265137,9.523809432983398,9.523809432983398,4.761904716491699,5,0,0,0,0,85,19.047618865966797,17.47968292236328,17179869184,0,10498080768,0
204,1771497031907,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,5,5,4.761904716491699,30.000001907348633,0,0,0,0,65,17.47968292236328,17179869184,0,10514726912,0
204,1771497032112,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,9.523809432983398,4.761904716491699,0,4.761904716491699,100,0,0,0,0,0,17.47968292236328,17179869184,0,10518396928,0
204,1771497032317,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,5,0,0,100,4.761904716491699,0,0,0,0,17.523866653442383,17179869184,0,10501636096,0
10,1771497032523,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,5,9.090909004211426,4.761904716491699,15.000000953674316,4.761904716491699,0,0,0,0,17.523866653442383,17179869184,0,10277109760,0
