device,language,algorithm,size,mean,std,min,max
M2,python,merge_sort,1000000,20.50544871778488,2.006119645040263,18.864809640884395,25.272186834335333
M2,python,merge_sort,4000000,148.82001141834257,4.346940753936901,143.979550444603,157.29510774230954
M2,python,quick_sort,1000,2.166979664707184,0.34219108125039666,1.8854356594085693,3.0000408182144165
M2,python,quick_sort,10000,2.3907261320114137,0.6480617351864779,1.7899627532958982,3.436342004776001
M2,python,quick_sort,20000,1.9331003579139707,0.16936540762080302,1.699563808441162,2.356948247909546
M2,python,quick_sort,50000,2.318643445301056,0.7219134015802033,1.7016217880249023,4.145473949432373
M2,python,quick_sort,100000,1.9906677924156189,0.14730083777814248,1.8037080078125,2.3362677764892577
M2,python,quick_sort,125000,2.2747465008735657,0.245521663714535,1.9451289672851564,2.6269076747894284
M2,python,quick_sort,250000,4.157618989372253,0.6170957493926774,3.3238034849166866,5.405201888084411
M2,python,quick_sort,1000000,15.695930463981629,3.078933184567927,12.933294799804687,21.807758859634397
M2,python,quick_sort,4000000,91.68713677482604,6.355403623260769,83.94457665252686,101.78239635467527
